id,title,year,genre,poster,tgLink,category,type,pin,synopsis
m0011,Dooradarshini,2026,"darma,romance",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRHRtyJ_BOIaHdQWAJdsgg7gCRe0M9YkVQmrvOA0YuFXQ&s=10,https://t.me/wefilmmmsub/528,,movie,,
m0012,Backrooms,2022,"scifi, horror",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSKD5rskaBMr3e159jfKFpNUjiMBbBMobvfSpyNcZP3vIF1TmwOIpr4FK8&s=10,https://t.me/wefilmmmsub/529,,movie,,
m0013,Mazka,2022,"romance, comedy",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcThmUeWkd4jbUcACo5kyrRpcPPqMLVIg9vRB4THwbRd5w&s=10,https://t.me/wefilmmmsub/530,,movie,,
m0014,Flavia,2026,adventure,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQri5i8yQAoF1Z-W3N9Eq96dz7JZtVDlnKbMEk7j1vKvA&s=10,https://t.me/wefilmmmsub/531,,movie,,
m0015,In the grey,2026,"action, adventure",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRBxjFuuMAdexrdyGLosi0pQhvsxoTYAIokRZIR5I6Q3c6I5pxpNDPy_YY&s=10,https://t.me/wefilmmmsub/532,trending,movie,,
m0016,Dream Theatre,2020,scifi,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSnxMi2trrbkgzE7-CD3MyHGCao_MgoOX5H5zb5qO2nCQ&s=10,https://t.me/wefilmmmsub/533,,movie,,
m0017,Blind Cop 2,2025,action,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSjyb7_VRdPF9bRfkpofDxC8TXU4rtu5VUZ_F5Rfq6Oaw&s=10,https://t.me/wefilmmmsub/534,,movie,,
m0018,The Odyssey,2026,"action, history",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRKy9aM15GSDRRxGXgXqWJX70HZ_NZWNZze_Pa1D99AI9E_6y2YXM6MCfEW&s=10,https://t.me/fvmdb1/65,trending,movie,,
m0019,Jewel Thief - The Heist Begins,2025,action,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQ-vy_DF_FVFp672ELX5kPv2MvpoCvukmX-PjKV1TbQQ&s=10,https://t.me/wefilmmmsub/537,,movie,,
m0020,kung fu soccer,2026,"sport, action, comedy",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRj-3D32KqHS-mu5kkTs7yFJv_og1DyKaw2BQM8YGkswBFl8YtjZJxtDlG8&s=10,https://t.me/fvmdb1/73,trending,movie,,
m0021,The Age of Blood ,2017,"history, action",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTAZ-QpchI1Z7y87fp4R7Bmo4D1m7Wd8UJFIw6yYK02Cg&s=10,https://t.me/wefilmmmsub/540,,movie,,
m0022,The captain ,2019,action,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTsLkCzCcZgGoLfYdmZFLeaToQxYy-IjRdNsmyjhr4sLg&s=10,https://t.me/wefilmmmsub/541,,movie,,
m0023,The Pirates,2014,"action, comedy",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR-l7_YJNZdCd0lgMaMXE9GxyiBUYzxpyynaF0EtJp3Bz6OdHNi9eNkYWU&s=10,https://t.me/wefilmmmsub/542,,movie,,
m0024,The Pirates: The Last Royal Treasure,2022,"action, comedy",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTzFr4X7clo6zYg7zCd5QQ1W9B3hG_SWQ6qDyQssJUnRCwiZe_DkWpLq0fh&s=10,https://t.me/wefilmmmsub/543,trending,movie,,
m0025,Total Dhamal,2019,"action, comedy",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRuwkRmwqp7cO0SHmLulbuQmsOm1rvT2_OvBbq__oPwhWKUjFoHHEKSv2dz&s=10,https://t.me/wefilmmmsub/544,trending,movie,,
m0026,Maa Inti Bangaaram,2026,"action, india",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQrKVGG-qPt-SsJQe7sgWUDZa6N4DT3n7UgXwYqogzEEA&s=10,https://t.me/fvmdb1/63,,movie,,
m0027,master of the universe,2026,"action, comedy",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSQHf-7VuByS16Kf7URrXnkd44Yu_oFYNlHPhETxDDKfg&s=10,https://t.me/fvmdb1/64,,movie,,
m0028,Brick,2025,mystery,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRiIYpu-C7tXDBo_lo-RIV81yka2Qoy_HcBNlEodJxbFHZw57grLltXKiqi&s=10,https://t.me/fvmdb1/67,,movie,,
m0029,Scary Movies,2026,comedy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRnd_pKQ4YIPSYGNiS-vG9DGZjiyesu5yYAQJKM_WiN_yCB96p2Iv70RL1q&s=10,https://t.me/fvmdb1/68,trending,movie,,
m0030,Jungle Cruise,2021,"action, comedy",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTbs46kPIK0g7keH2USW9nJYjuft4EZBkFrYSVZslcHJPXBBA8RMJLH7bY&s=10,https://t.me/fvmdb1/69,,movie,,
m0031,Colony,2026,"scifi, horror",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSCAlue28c6xyt1aydboCkqBTtCnHlynAe3GFDLmDnjXW9hINtqkS6tkr-N&s=10,https://t.me/fvmdb1/70,trending,movie,,
m0032,Troy,2004,"history, action",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRLmLEUl-JERU91WQ5-J4U9_cGpGMYgcy1Pb-u86ar-ng&s=10,https://t.me/fvmdb1/71,trending,movie,,
m0033,inception,2010,"scifi, action",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTsgXAndLrxHe5wGOIBGs961Km6D9ckI8LJ8lWGlh75pg&s=10,https://t.me/fvmdb1/72,,movie,,
m0034,Super Girl,2026,"dcu, action",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTp3-ofXS1okqP8foA_TZzrXAx0H4ACKcnGEhx9DCN3h0-8EpbIPgZFGSs&s=10,https://t.me/fvmdb1/74,,movie,,
m0035,All wish come true,2026,"animation, action",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSl39XeAwPkK6Gb9sus8nPqH2qBFGEPARdUKnjsBmJdLg&s=10,https://t.me/fvmdb1/75,,movie,,
m0036,daaku maharaaj,2025,action,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQz7OWh0-o_K8UU_bR099FoxIip5BE-MQc2nGee6SyrVQ&s=10,https://t.me/fvmdb1/76,,movie,,
m0037,Ready or not,2019,action,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS5I8nXQ2LdQAP8VI_jtW9FFJNaEk-c3FsGTwzJY46qxA&s=10,https://t.me/fvmdb1/77,trending,movie,,
m0038,Ready or not 2,2026,action,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSxCKu00pK_6a1rs0Afwe0rV_h_43buDG2jHyr_hGvU36HTqZenyfU1HtM&s=10,https://t.me/fvmdb1/78,trending,movie,,
m0039,WarDriver,2026,"action, hacker",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTUAAha_dup6GEGl50JWO02O6gnV8aVtVzHLilnjqFUqtFMu-CkxQPUaUom&s=10,https://t.me/fvmdb1/79,trending,movie,,
m0040,Southpaw,2015,"sport, action",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRXVQCO-Go3CCEVyQlOrNOd5tRg1N6UF1O5nEQM8zY29LeoU9r7g44wakxU&s=10,https://t.me/fvmdb1/80,trending,movie,,
m0041,Warfare,2025,action,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSrUBeSi5URjLnR9DKeB5iS99q0__8yjnZ2XaEV3yN4kbwwjT1kJSezDcw&s=10,https://t.me/fvmdb1/81,,movie,,
m0042,Zodiac,2007,action,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSoFDnkuvHRAf_wL7CUvLF0X5jd1yatVNaLgLXWzxa1QqxYDd6aZGUK-94&s=10,https://t.me/fvmdb1/83,,movie,,
m0043,Boss,2025,"action, comedy",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSuNpNS1S90QcqxUOLvlCH8mPYMKMN8IxlrVnhd8-vj4bQLjKVme7XAMUsS&s=10,https://t.me/fvmdb1/84,trending,movie,,
m0044,500 day of summer,2009,"romance, comedy",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS8TWL81H_b6_M6W_YDg0QgNjtZZNHQQ2_srYJOwcTxoQtvE9AstkcBQ-8T&s=10,https://t.me/fvmdb1/85,trending,movie,,
m0045,The Ghoul,2020,"horror, comedy",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPhkGwffseHOvCzoMmQBbZMqJy4M669KFMM44XTtWEjg&s=10,https://t.me/fvmdb1/86,trending,movie,,
m0046,Big Match,2014,action,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRs0BE6-t-lP4G75WqHtTAg2C2t7yGxXc5Z5CaAuExPYw&s=10,https://t.me/fvmdb1/87,trending,movie,,
m0047,The Substance,2024,"body horror, horror",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjzPPzX10HZ3z9cIWhcd5I7IEhgiHwh94EjIcOL7lZVCzRYDAYWEpcVBkU&s=10,https://t.me/fvmdb1/88,trending,movie,,
m0048,tay anh giữ một vì sao,2025,comedy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSPT5FHFiaB4jAexC2qDRdOb81z2nRn-YG7xckvdhNWlQ&s=10,https://t.me/fvmdb1/89,,movie,,
m0049,Blast,2026,action,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRdUapSBeIfAFuIZSKDAJPrXDXcDAoH3RuJTJu996sXAKGVSTeteMx5nSSb&s=10,https://t.me/fvmdb1/90,trending,movie,,
m0050,Welcom to the jungle,2026,comedy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ8y-XfXzbtPaVKUCkJRuHjTSIUowAW9-iX-u5ACB1Ubw&s=10,https://t.me/fvmdb1/91,,movie,,
m0051,Ghost in the cell,2025,horror,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTzntxtuo9j5Ht_-K8FTq7-BQ1e2DL1h75XF-whTJP0Eg&s=10,https://t.me/fvmdb1/92,,movie,,
m0052,Baby Driver,2017,action,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQN8sZ9Mz8jq1_u1zCYcet-dU-Sll8_eTSDAMJF4w3f8g&s=10,https://t.me/fvmdb1/93,trending,movie,,
m0053,Yakuza Princess,2021,action,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRLutzs8BDw7_6zsEdagEJ51_qGgyMfzCwEF69IG3FSRw&s=10,https://t.me/fvmdb1/94,trending,movie,,
m0054,Mutiny,2026,action,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTrkBEzGVa4ihNy0KKLgW88CISRp97UiZibUInJvBGRQg&s=10,https://t.me/fvmdb1/95,,movie,,
m0055,6/45,2022,comedy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTGpwPT-a31D5ChIEH8ONfruban5N0IAG-4AjsKudL7lg&s=10,https://t.me/fvmdb1/97,trending,movie,,
m0056,Kumki 2,2025,drama,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQu14tHRQWXyF375O13Fb9qzfydDmAxXomr-1hpUuPKzA&s=10,https://t.me/fvmdb1/98,,movie,,
m0057,sosok ketiga ,2023,horror,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRvGN2jz2cRj0Mqi39BMfDzSu3oxZDSyl-P3rPslm_NUmTDdM6myRZdy3M&s=10,https://t.me/fvmdb1/99,,movie,,
m0058,Send Help,2026,action,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSE3Ed1Rdg6WpR_vaH2j4DMkgoMNnLnY-qmZXb_cMasWcePyvt69o0B6a4&s=10,https://t.me/fvmdb1/100,,movie,,
m0059,Jaat,2025,action,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRv4u44S5CUgN7AHaG5tlEPZ6aOv-6ZIqnivVf4xZpUY3H7F0kFqDCqFjnr&s=10,https://t.me/fvmdb1/101,,movie,,
m0060,Netrikann,2021,action,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQg5M_P0p1MRijnNaQwI5FdGrbW-QVA9JWM8V71PZ88cg&s=10,https://t.me/fvmdb1/102,trending,movie,,
m0061,Taxi 5,2018,comedy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQKgLmOHJuK03-1ZnW2BhaKbuhYoUWlw__xM6GpCZkDXQ&s=10,https://t.me/fvmdb1/103,,movie,,
m0062,Baahubali 2: The Conclusion,2017,"action, history, india",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGPI2wipTukoF2bqdptUlULs2wNHj5u4-ABA3L3hcdQA&s=10,https://t.me/fvmdb1/104,,movie,,
m0063,alpha,2026,action,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRsNaO7B7u_jrmyYHOoVAqwR_FglTMK7qMYsfTluLaVbA&s=10,https://t.me/fvmdb1/105,trending,movie,,
m0064,The undertaker,2023,horror,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR-0J778ppfnMPRMntbnngikJJZYkN-gpMkvAF5KOmPGrH0-cBoWo3EpEc&s=10,https://t.me/fvmdb1/106,,movie,,
m0065,Men of Plastic,2022,comedy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS9T_cGUUeb-Pz7WZBb8T-q1jAt338_v1EbRdiObk-6cQ&s=10,https://t.me/fvmdb1/107,,movie,,
m0066,The thunderstruck cop,2025,comedy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQLlDWFQ8b9m6Qg0J_gs27tNm3V9E5e-QuwYv3StC90xQ&s=10,https://t.me/fvmdb1/108,,movie,,
m0067,Miss granny,2014,comedy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRf3drYvGbQemra-csoqMtwJ4dLiujLf4QYZ8M3cz9eyw&s=10,https://t.me/fvmdb1/109,trending,movie,,
m0068,Love Sync,2026,drama,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTBQLOcCQ5B2TZ4mkDPVGNi_Qnc5PaoY2mktFPs5um5XkEOXPmKcPgqiwsM&s=10,https://t.me/familyseries01/27,,series,,"Lo_ve in Sy_nc (2026)
Genre: Romance / Comedy / Drama

ခေတ်သစ်လူနေမှုဘဝမှာ အချိန်ကိုက်ချစ်ခြင်းတရားကို ရှာဖွေတွေ့ရှိဖို ကြိုးစားကြတဲ့ လူငယ်နှစ်ဦးရဲ့ ကြည်နူးဖွယ် အချစ်ဇာတ်လမ်းလေးဖြစ်ပါတယ်။ မတူညီတဲ့ ဘဝနောက်ခံနဲ့ အလုပ်အကိုင်တွေကြားကနေ မမျှော်လင့်ဘဲ ဆုံတွေ့ခဲ့ကြပြီးနောက် သူတိုရဲ့ ရင်ခုန်သံတွေ စတင်စည်းချက်ညီလာပုံကို စိတ်ဝင်စားဖွယ် တွေ့မြင်ရမှာပါ။

နားလည်မှုလွဲမှားခြင်းတွေနဲ့ နေ့စဉ်ဘဝရဲ့ စိန်ခေါ်မှုတွေကို အတူတူ ဖြတ်သန်းရင်း အချစ်စစ်ဆိုတာ အချိန်အခါသင့်မှုထက် အပြန်အလှန် ညှိနှိင်းနားလည်ပေးနိုင်မှုအပေါ်မှာ ပိုမိုမူတည်ကြောင်း ဖော်ပြထားတဲ့ ရိုမန့်တစ်ဒရာမာ ဇာတ်ကားကောင်းတစ်ပုဒ် ဖြစ်ပါတယ်။"
m0069,The Early Spring,2026,drama,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR8SRksbxuaVGJo2X0KlciMEZFBxoRF-9PkiCiTKBC5SQ&s=10,https://t.me/familyseries01/28,trending,series,,
m0070,Four Hands Two Sonatas,2026,drama,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTFWuiSMKF8vP__BOgmWQlZoOKJEg24DYOFDg2t_Iri4cdalufSRZYXEUjQ&s=10,https://t.me/familyseries01/26,,series,,"Fo_ur Ha_nds, Tw_o Son_at_as (2026)
Genre: Drama / Music

ဂီတလောကမှာ ထူးချွန်ထက်မြက်တဲ့ စန္ဒရားပညာရှင်နှစ်ဦးဟာ အထူးဖျော်ဖြေပွဲတစ်ခုအတွက် လက်တွဲပြီး စန္ဒရားလက်လေးဖက်တွဲ တီးခတ်မှုတစ်ခုကို အတူတကွ ဖန်တီးရန် အကြောင်းဖန်လာခဲ့ပါတယ်။ မတူညီတဲ့ နောက်ခံသမိုင်းနဲ့ စရိုက်လက္ခဏာတွေ ရှိကြတဲ့ သူတိုနှစ်ဦးဟာ အနုပညာဖန်တီးမှုအပေါ် ထားရှိတဲ့ ပြင်းပြတဲ့စိတ်ဆန္ဒချင်း တူညီကြပေမဲ့ အစပိုင်းမှာတော့ အမြင်မတူမှုတွေနဲ့ အပြိုင်အဆိုင် သဘောထားတွေ ရင်ဆိုင်ကြုံတွေ့ရပါတယ်။

အတူတကွ အချိန်ယူလေ့ကျင့်ရင်း အပြန်အလှန် နားလည်မှုတွေ တည်ဆောက်လာကြသလို သူတိုရဲ့ ဘဝဒဏ်ရာတွေနဲ့ စိတ်ခံစားချက်တွေကိုပါ သံစဉ်တွေကတစ်ဆင့် မျှဝေခံစားလာကြရပါတယ်။ ဂီတအနုပညာရဲ့ နက်ရှိင်းမှု၊ လူသားတိုရဲ့ ဆက်ဆံရေးနဲ့ ရင်တွင်းခံစားချက်တွေကို ရသမြောက်စွာ ပေါင်းစပ်ရိုက်ကူးထားတဲ့ စိတ်လှုပ်ရှားဖွယ် ဒရာမာရုပ်ရှင်ကား ဖြစ်ပါတယ်။"
m0071,Arcane,2021-2024,"action, crime, anime",https://m.media-amazon.com/images/M/MV5BYjA2NzhlMDItNWRmZC00MzRjLWE3ZjAtZjBlZDAwOWY2ODdjXkEyXkFqcGc@._V1_.jpg,https://t.me/familyseries01/25,trending,series,,"Ar_ca_ne (2021-2024)
IMDb: 9.0  |  Genre: Animation / Action / Sci-Fi

ချမ်းသာကြွယ်ဝပြီး နည်းပညာထွန်းကားတဲ့ ပီလ်တိုဗာမြိုတော်နဲ့ ဆင်းရဲမွဲတေပြီး အမှောင်ထုဖုံးလွှမ်းနေတဲ့ ဇောင်းမြေအောက်မြိုတော်တိုအကြား ဖြစ်ပွားလာတဲ့ တင်းမာမှုတွေကို အခြေခံထားပါတယ်။ ညီအစ်မနှစ်ဦးဖြစ်ကြတဲ့ ဗွီနဲ့ ဂျင်းစ်တိုဟာ မတူညီတဲ့ အခြေအနေတွေနဲ့ ရင်ဆိုင်ကြုံတွေ့ရတစတင်ဖြစ်ပွားလာပါတော့တယ်။့ အချင်းချင်းရန်သူတွေအဖြစ် လမ်းခွဲခဲ့ကြရပါတယ်။

မှော်ပညာနဲ့ သိပ္ပံပညာကို ပေါင်းစပ်ဖန်တီးထားတဲ့ နည်းပညာအသစ်တွေ ထွက်ပေါ်လာချိန်မှာတော့ မြိုတော်နှစ်ခုကြား စစ်ပွဲကြီးတစ်ခု မလွဲမသွေ စတင်ဖြစ်ပွားလာပါတော့တယ်။ ဆန်းသစ်လှပတဲ့ ရုပ်ထွက်ဒီဇိုင်းတွေနဲ့ ဇာတ်အိမ်ခိုင်မာလှပြီး ပရိသတ်တွေ အထူးကြိုက်နှစ်သက်ခဲ့တဲ့ Animation ဇာတ်လမ်းတွဲကောင်းတစ်ခု ဖြစ်ပါတယ်။

ရုပ်ရှင်ကြည့်ရန် Channelကို Joinပါ
https://t.me/addlist/58gZNGQ86uJiOWE9

ကြည့်ရန်
Arcane Season1& 2
https://t.me/familyseries01/25

For Ads / Business: @familyversionads

#Series #mmsub #Arcane #Animation #familyversion"
m0072,Flex x cop 2,2026,drama,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRZezpW6qROGf3FdnckF4w9SGKR8hP6hZxrdKajnKoIlbrZuM7aqvyo1WzK&s=10,https://t.me/familyseries01/24,,series,,"Fl_ex X C_op 2 (2026)
Genre: Action / Comedy / Crime

ချမ်းသာကြွယ်ဝတဲ့ သူဌေးသားလေး ဂျင်အီဆူဟာ စုံထောက်တစ်ယောက်အဖြစ် ဝင်ရောက်တာဝန်ထမ်းဆောင်ရင်း မထင်မှတ်ထားတဲ့ အမှုအခင်းတွေကို ဖြေရှင်းခဲ့ပြီးနောက် အခုဒုတိယရာသီမှာ ပိုမိုကြီးမားရှုပ်ထွေးတဲ့ ရာဇဝတ်မှုတွေနဲ့ ရင်ဆိုင်ရပြန်ပါတယ်။ သူဌေးသားပီပီ ကိုယ်ပိုင်ငွေကြေးနဲ့ အဆက်အသွယ်တွေကို အသုံးချပြီး ရဲစုံထောက်အဖွဲနဲ့အတူ မတရားမှုတွေကို ဆက်လက်တိုက်ဖျက်သွားမှာ ဖြစ်ပါတယ်။

အဖွဲခေါင်းဆောင် လီဂန်ဟျွန်းနဲ့ အဖွဲသားတွေအကြား ပိုမိုခိုင်မာလာတဲ့ စည်းလုံးညီညွတ်မှုတွေ၊ လျှိဝှက်နက်နဲတဲ့ အမှုသစ်တွေကို အက်ရှင်ဟာသ ဇာတ်မြူးဆန်ဆန် အမိုက်စားဖော်ထုတ်ပြသသွားမှာဖြစ်တာကြောင့် ပရိသတ်တွေ လက်မလွှတ်တမ်း စောင့်မျှော်ကြည့်ရှုသင့်တဲ့ ဇာတ်လမ်းကောင်းတစ်ခု ဖြစ်ပါတယ်။
"
